Organization,Program,Scrum Team,Jira Project Name,Epic Fields,Initiative Fields,All other issue type other than Epic and Initiative
PSSW,China Solutions Projects,Xiaowei Intel,Xiaowei Intel,,,
PSSW,China Solutions Projects,HPStore & EQCODE,HPStore&QR-Code,,,
PSSW,China Solutions Projects,Xiaohui AMD,XiaoHui AMD,,,
PSSW,China Solutions Projects,Horizon China,Horizon China,,,
HPPS,LF Software,Platform Engineering Team,LF Software,,,
HPPS,LF Software,Monetization and WS Management,LF Software,,,
HPPS,LF Software,Collaboration,LF Software,,,
HPPS,LF Software,Drawings Management,LF Software,,,
HPPS,LF Software,Smart Digitization -ML,LF Software,,,
HPPS,LF Software,Siteprint Cloud,LF Software,,,
HPPS,LF Software,Siteprint Plugins,LF Software,,,
HPPS,LF Software,HP Click,LF Software,,,
HPPS,LF Software,Host Solutions Backend,LF Software,,,
HPPS,LF Software,PSA and Driver,LF Software,,,
HPPS,LF Software,Fleet Management,LF Software,,,
HPPS,LF Software,LF Production Hub and Platform Engineering,LF Software,,,
HPPS,LF Software,Orders W2P,LF Software,,,
HPPS,LF Software,LF - Fleet Mgmt,LF Software,,,
HPPS,LF Software,Quotation,LF Software,,,
HPPS,LF Software,IPS,LF Software,,,
HPPS,LF Software,SDK,LF Software,,,
HPPS,LF Software,Cloud Devops,LF Software,,,
HPPS,LF Software,Host Devops,LF Software,,,
HPPS,Print Firmware,Print Firmware,Print Firmware,,,
HPPS,HPX,Client OS,HPPS HP App Horizontal,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Setup & Onboarding,OWS(Classic),HPPS Setup & Onboarding,Delivery Teams,Participating TofTs,Scrum Team
PSSW,Data Analytics and Insights,Data Analytics,PS DATA ANALYTICS,,,
HPPS,Industrial Print Software and Solutions,Industrial Print Software and Solutions,Industrial Print Software and Solutions,Delivery Teams,Participating TofTs,Scrum Team
PSSW,ACS Projects,Team Cloud RSM,,,,
PSSW,ACS Projects,Team Remote System Controller,,,,
PSSW,ACS Projects,Team On-Prem RSM,,,,
PSSW,ACS Projects,Team HP Boost,,,,
PSSW,ACS Projects,Team Cyclops,,,,
HPS,Active Care,Active Care,WorkForceExp FM Active Care,Scrum Team,Scrum Team,Scrum Team
HPS,Active Care D&TO,Active Care D&TO,WEX AC-D&TO,Scrum Team,Scrum Team,Scrum Team
HPS,Active Care Scaling,Active Care Scaling,ActiveCare Scaling,Scrum Team,Scrum Team,Scrum Team
HPS,Account Management,Account Management,WXP SS Account Managment,Scrum Team,Scrum Team,Scrum Team
HPS,Emp Engagements Pulses,Employee Engagements Pulses,WEX Employee Engagement - Pulses,Scrum Team,Scrum Team,Scrum Team
HPS,Policy Based Remediation,Policy Based Remediation,WorkForceExp FM Policy Based Remediation,Scrum Team,Scrum Team,Scrum Team
HPS,Meta Services + Assets,WXP SS Meta Services,WXP SS Meta Services,Scrum Team,Scrum Team,Scrum Team
HPS,Meta Services + Assets,WXP SS Asset Inventory Ingestion,WXP SS Asset Inventory Ingestion,Scrum Team,Scrum Team,Scrum Team
PSSW,PC Performance Projects,Carrera,,,,
PSSW,PC Performance Projects,Orion AI,Orion AI - Applied AI/ML Team BR,,,
PSSW,PS Solution Enablement Projects,Perform Services - Carrera AI,,,,
PSSW,PS Solution Enablement Projects,OMEN AI Models,,,,
PSSW,PS Solution Enablement Projects,OMEN AI Case Studies,,,,
PSSW,PS Solution Enablement Projects,Voice Services 2.0,,,,
PSSW,PS Solution Enablement Projects,Document Analysis Local 2.0,,,,
